id,Compound_CID,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Target_ID,Source_Target,Source_Target_URL,Protein_Accession,Protein,Gene_ID,Gene,Taxonomy_ID,Taxonomy,Action,Activity_Name,Activity,Evidence_IDs,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,pmcids,pclids,References
81778,6,Comparative Toxicogenomics Database (CTD),Dinitrochlorobenzene,D004137,Dinitrochlorobenzene,https://ctdbase.org/detail.go?type=chem&acc=D004137,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Dinitrochlorobenzene binds to PARP1 protein,,,PMID:32991956,https://www.ncbi.nlm.nih.gov/pubmed/32991956,32991956,,,12210744,"Parkinson E, Aleksic M, Kukic P, Bailey A, Cubberley R, Skipp P. Proteomic analysis of the cellular response to a potent sensitiser unveils the dynamics of haptenation in living cells. Toxicology. 2020 Dec 01;445():152603. doi: 10.1016/j.tox.2020.152603. PMID: 32991956."
355,137,Comparative Toxicogenomics Database (CTD),Aminolevulinic Acid,D000622,Aminolevulinic Acid,https://ctdbase.org/detail.go?type=chem&acc=D000622,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),FADD mutant form inhibits the reaction [aminolevulinic acid analog results in increased cleavage of PARP1 protein]|aminolevulinic acid analog results in increased cleavage of PARP1 protein,,,PMID:21138480,https://www.ncbi.nlm.nih.gov/pubmed/21138480,21138480,,,1076250,"Chen HM, Liu CM, Yang H, Chou HY, Chiang CP, Kuo MY. 5-aminolevulinic acid induce apoptosis via NF-?B/JNK pathway in human oral cancer Ca9-22 cells. J Oral Pathol Med. 2011 Jul;40(6):483–9. doi: 10.1111/j.1600-0714.2010.00973.x. PMID: 21138480."
79675,177,Comparative Toxicogenomics Database (CTD),Acetaldehyde,D000079,Acetaldehyde,https://ctdbase.org/detail.go?type=chem&acc=D000079,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Silybin inhibits the reaction [staurosporine promotes the reaction [acetaldehyde results in increased cleavage of PARP1 protein]]|staurosporine promotes the reaction [acetaldehyde results in increased cleavage of PARP1 protein]|acetaldehyde results in increased cleavage of PARP1 protein|silybin inhibits the reaction [acetaldehyde results in increased cleavage of PARP1 protein],,,PMID:35158046,https://www.ncbi.nlm.nih.gov/pubmed/35158046,35158046,,,33888318,"Song XY, Liu PC, Liu WW, Hayashi T, Mizuno K, Hattori S, Fujisaki H, Ikejima T. Protective effects of silibinin against ethanol- or acetaldehyde-caused damage in liver cell lines involve the repression of mitochondrial fission. Toxicol In Vitro. 2022 Apr;80():105330. doi: 10.1016/j.tiv.2022.105330. PMID: 35158046."
77027,192,Comparative Toxicogenomics Database (CTD),Adenosine diphosphate ribose,D011064,Poly Adenosine Diphosphate Ribose,https://ctdbase.org/detail.go?type=chem&acc=D011064,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),PARP1 protein results in increased chemical synthesis of poly adenosine diphosphate ribose|[arsenite results in decreased activity of PARP1 protein] which results in decreased chemical synthesis of poly adenosine diphosphate ribose,,,PMID:22387748,https://www.ncbi.nlm.nih.gov/pubmed/22387748,22387748,,PMC3327874,24903500,"Qin XJ, Liu W, Li YN, Sun X, Hai CX, Hudson LG, Liu KJ. Poly(ADP-ribose) polymerase-1 inhibition by arsenite promotes the survival of cells with unrepaired DNA lesions induced by UV exposure. Toxicol Sci. 2012 May;127(1):120–9. PMID: 22387748; PMCID: PMC3327874."
77028,192,Comparative Toxicogenomics Database (CTD),Adenosine diphosphate ribose,D011064,Poly Adenosine Diphosphate Ribose,https://ctdbase.org/detail.go?type=chem&acc=D011064,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),"PARP1 protein mutant form promotes the reaction [hydrogen peroxide results in increased abundance of poly adenosine diphosphate ribose]|poly adenosine diphosphate ribose binds to PARP1 protein|parp1 protein mutant form affects the abundance of poly adenosine diphosphate ribose|poly adenosine diphosphate ribose inhibits the reaction [PARP1 protein binds to nucleic acids, nucleotides, and nucleosides]|parp1 protein promotes the reaction [hydrogen peroxide results in increased abundance of poly adenosine diphosphate ribose]|parp1 protein promotes the reaction [camptothecin results in increased abundance of poly adenosine diphosphate ribose]",,,PMID:27694308,https://www.ncbi.nlm.nih.gov/pubmed/27694308,27694308,,PMC5137445,29679245,"Rank L, Veith S, Gwosch EC, Demgenski J, Ganz M, Jongmans MC, Vogel C, Fischbach A, Buerger S, Fischer JM, Zubel T, Stier A, Renner C, Schmalz M, Beneke S, Groettrup M, Kuiper RP, Bürkle A, Ferrando-May E, Mangerich A. Analyzing structure-function relationships of artificial and cancer-associated PARP1 variants by reconstituting TALEN-generated HeLa PARP1 knock-out cells. Nucleic Acids Res. 2016 Dec 01;44(21):10386–405. PMID: 27694308; PMCID: PMC5137445."
77029,192,Comparative Toxicogenomics Database (CTD),Adenosine diphosphate ribose,D011064,Poly Adenosine Diphosphate Ribose,https://ctdbase.org/detail.go?type=chem&acc=D011064,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,10090,Mus musculus (house mouse),PARP1 gene mutant form results in decreased abundance of poly adenosine diphosphate ribose,,,PMID:18093987,https://www.ncbi.nlm.nih.gov/pubmed/18093987,18093987,,,26182767,"von Lukowicz T, Hassa PO, Lohmann C, Borén J, Braunersreuther V, Mach F, Odermatt B, Gersbach M, Camici GG, Stähli BE, Tanner FC, Hottiger MO, Lüscher TF, Matter CM. PARP1 is required for adhesion molecule expression in atherogenesis. Cardiovasc Res. 2008 Apr 01;78(1):158–66. doi: 10.1093/cvr/cvm110. PMID: 18093987."
77030,192,Comparative Toxicogenomics Database (CTD),Adenosine diphosphate ribose,D011064,Poly Adenosine Diphosphate Ribose,https://ctdbase.org/detail.go?type=chem&acc=D011064,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,10116,Rattus norvegicus (Norway rat),"PARP1 protein results in increased abundance of poly adenosine diphosphate ribose|5-chloro-2-(3-(4-phenyl-3,6-dihydro-1(2H)-pyridinyl)propyl)-4(3H)-quinazolinone inhibits the reaction [PARP1 protein results in increased abundance of poly adenosine diphosphate ribose]",,,PMID:15075382,https://www.ncbi.nlm.nih.gov/pubmed/15075382,15075382,,,13914481,"Iwashita A, Tojo N, Matsuura S, Yamazaki S, Kamijo K, Ishida J, Yamamoto H, Hattori K, Matsuoka N, Mutoh S. A Novel and Potent Poly(ADP-Ribose) Polymerase-1 Inhibitor, FR247304 (5-Chloro-2-[3-(4-phenyl-3,6-dihydro-1(2 H)-pyridinyl)propyl]-4(3 H)-quinazolinone), Attenuates Neuronal Damage in in Vitro and in Vivo Models of Cerebral Ischemia. The Journal of Pharmacology and Experimental Therapeutics. 2004 Aug;310(2):425–36. doi: 10.1124/jpet.104.066944."
77163,192,Comparative Toxicogenomics Database (CTD),Adenosine diphosphate ribose,D011064,Poly Adenosine Diphosphate Ribose,https://ctdbase.org/detail.go?type=chem&acc=D011064,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,10116,Rattus norvegicus (Norway rat),"[N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride results in decreased activity of PARP1 protein] which results in decreased abundance of poly adenosine diphosphate ribose|[ino 1001 results in decreased activity of PARP1 protein] which results in decreased abundance of poly adenosine diphosphate ribose",,,PMID:15829224,https://www.ncbi.nlm.nih.gov/pubmed/15829224,15829224,,,317011,"Besson VC, Zsengellér Z, Plotkine M, Szabó C, Marchand-Verrecchia C. Beneficial effects of PJ34 and INO-1001, two novel water-soluble poly(ADP-ribose) polymerase inhibitors, on the consequences of traumatic brain injury in rat. Brain Res. 2005 Apr 18;1041(2):149–56. doi: 10.1016/j.brainres.2005.01.096. PMID: 15829224."
96196,222,Comparative Toxicogenomics Database (CTD),Ammonia,D000641,Ammonia,https://ctdbase.org/detail.go?type=chem&acc=D000641,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,10116,Rattus norvegicus (Norway rat),PARP1 protein affects the susceptibility to ammonia,,,PMID:15147502,https://www.ncbi.nlm.nih.gov/pubmed/15147502,15147502,,,9200090,"Kosenko E, Montoliu C, Giordano G, Kaminsky Y, Venediktova N, Buryanov Y, Felipo V. Acute ammonia intoxication induces an NMDA receptor-mediated increase in poly(ADP-ribose) polymerase level and NAD<sup>+</sup> metabolism in nuclei of rat brain cells. Journal of Neurochemistry. 2004 Apr 27;89(5):1101–10. doi: 10.1111/j.1471-4159.2004.02426.x."
91204,234,Toxin and Toxin Target Database (T3DB),Arsenic Acid,T3D0223,Arsenate,http://www.t3db.ca/toxins/T3D0223,BE0001717,Poly [ADP-ribose] polymerase 1,http://www.t3db.ca/biodb/bio_entities/BE0001717,P09874,Poly [ADP-ribose] polymerase 1,142,PARP1,9606,Homo sapiens (human),Arsenic binding of PARP-1 is believed to induce carcinogenesis by affecting DNA repair. (A17),,,PMID:18164070,https://www.ncbi.nlm.nih.gov/pubmed/18164070,18164070,,,28834896,"Kitchin KT, Wallace K. The role of protein binding of trivalent arsenicals in arsenic carcinogenesis and toxicity. Journal of Inorganic Biochemistry. 2008 Mar;102(3):532–9. doi: 10.1016/j.jinorgbio.2007.10.021."
